CVE_ZM,ZM,CVE_MUN,MUN,POB,MC,CF,DIST_CC,PRM_TMUN,PRM_TMUNC,PRM_TOTROMUN,PEM_RMUN,PEM_TMUNC,PEM_ROTROMUN,PACNA,PACNPRIM,DMU,DZC-ZM,PZC-ZM,PNDUyOT,TIPO_MUN,AÑO
34,Zona metropolitana de Puebla-Tlaxcala,29059,Quilehtla,6296,1,1,0,61.2,25.7,13.1,89.5,9.1,1.4,*,86.8,17.9,1,1,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29060,Xiloxoxtla,4436,1,1,0,60.2,21.5,18.3,43.7,34.1,22.2,*,88.4,7.8,0,0,0,1,2010
54,Zona metropolitana de Acayucan,30003,Acayucan,83817,1,1,0,92.6,0.5,6.9,77.7,7.6,14.8,*,82.7,56.1,1,0,0,1,2010
47,Zona metropolitana de Veracruz,30011,Alvarado,51955,0,0,56.1,91,2.9,6.1,92.9,2.9,4.2,*,65.8,82.2,1,1,1,3,2010
53,Zona metropolitana de Córdoba,30014,Amatlán,42268,1,1,0,70.3,22,7.7,89.7,4.9,5.4,*,73.5,24.9,1,1,1,1,2010
50,Zona metropolitana de Orizaba,30022,Atzacan,20063,0,0,2.8,66.5,22.2,11.3,94.1,4.7,1.3,*,61,49.5,1,1,1,3,2010
48,Zona metropolitana de Xalapa,30026,Banderilla,21546,1,1,0,40.5,50.8,8.7,54.8,17.7,27.4,*,97.2,51.1,1,1,1,1,2010
47,Zona metropolitana de Veracruz,30028,Boca del Río,138058,1,1,0,72.9,21.7,5.4,82.7,9,8.3,*,99.2,96.6,1,1,1,1,2010
50,Zona metropolitana de Orizaba,30030,Camerino Z. Mendoza,41778,1,1,0,59.5,27.4,13,75.2,17.6,7.2,*,98.4,70.5,1,1,1,1,2010
49,Zona metropolitana de Poza Rica,30033,Cazones,23483,0,0,21.5,89.5,7.7,2.9,95.4,4.1,0.5,*,45.1,34.5,1,1,0,3,2010
48,Zona metropolitana de Xalapa,30038,Coatepec,86696,0,0,4.8,76.4,18.7,4.8,85.4,5.5,9.1,*,90.5,65.2,1,1,1,2,2010
52,Zona metropolitana de Coatzacoalcos,30039,Coatzacoalcos,305260,1,1,0,93.3,0.1,6.7,86,2.6,11.4,*,98.1,80.3,1,1,1,1,2010
49,Zona metropolitana de Poza Rica,30040,Coatzintla,48351,1,1,0,63.1,32.9,4,94.4,3.8,1.8,*,93.4,71.3,1,1,1,1,2010
53,Zona metropolitana de Córdoba,30044,Córdoba,196541,1,1,0,92.6,2,5.4,82.7,7.6,9.8,*,96.5,92.7,1,1,1,1,2010
51,Zona metropolitana de Minatitlán,30048,Cosoleacaque,117725,1,1,0,54.1,28.5,17.4,88.1,7.6,4.3,*,95.7,58.6,1,1,1,1,2010
51,Zona metropolitana de Minatitlán,30059,Chinameca,15214,1,1,0,62.4,23.3,14.4,82.3,10.6,7.1,*,81.4,19.8,0,0,0,1,2010
48,Zona metropolitana de Xalapa,30065,Emiliano Zapata,61718,0,0,0.7,48.1,41.3,10.6,82.8,9.6,7.7,*,89,63.7,1,1,0,2,2010
53,Zona metropolitana de Córdoba,30068,Fortín,59761,1,1,0,77.2,16.9,5.9,83.3,6,10.7,*,90.5,52.3,1,1,1,1,2010
50,Zona metropolitana de Orizaba,30074,Huiloapan,6750,1,1,0,39.9,53.7,6.5,68.8,30.6,0.7,*,94.8,54.6,1,1,1,1,2010
50,Zona metropolitana de Orizaba,30081,Ixhuatlancillo,21150,1,1,0,44.9,42.9,12.2,89,9.2,1.8,*,93.4,73.4,1,1,1,1,2010
52,Zona metropolitana de Coatzacoalcos,30082,Ixhuatlán del Sureste,14903,0,0,2.4,69.4,17.5,13.1,95.6,1.9,2.4,*,87.4,44.8,1,1,1,2,2010
50,Zona metropolitana de Orizaba,30085,Ixtaczoquitlán,65385,1,1,0,63.8,25.2,11,73.8,21.6,4.7,*,83.2,44.5,1,1,1,1,2010
48,Zona metropolitana de Xalapa,30087,Xalapa,457928,1,1,0,93.8,0.5,5.6,82.2,3.4,14.5,*,97.4,106.9,1,1,1,1,2010
